,fr_w,nmot_w,rl_w,nearest_rpm,nearest_load,weight
2763,1.00296,1085.0,45.5859,1000.0,47.5,0.011374739660646019
2764,1.00293,1229.25,49.4063,1000.0,47.5,0.00430744287361575
2765,1.0069,1440.25,50.6016,1500.0,47.5,0.015661314673398943
2766,1.00711,1562.5,49.2188,1500.0,47.5,0.015333002140487098
2767,1.00803,1718.5,47.3203,1750.0,47.5,0.03060003610804261
2768,1.00394,1842.5,46.1719,1750.0,47.5,0.01054539740857404
2769,1.00259,1943.75,45.7969,1750.0,47.5,0.005090273454580253
2770,1.0,2051.25,45.0703,2250.0,47.5,0.00494609498381885
2771,1.0,2111.75,44.5547,2250.0,47.5,0.007032581245652985
2772,1.0,2179.5,44.7422,2250.0,47.5,0.01346659879500874
2773,1.0,2238.25,44.5547,2250.0,47.5,0.06371334093645867
2774,1.0,2276.5,44.5313,2250.0,47.5,0.032820566679904295
2775,0.964753,2304.5,44.6484,2250.0,47.5,0.017137490660067593
2776,0.963471,2320.25,44.6719,2250.0,47.5,0.013499266314875785
2777,0.963319,2325.75,45.1172,2250.0,47.5,0.012636984916494802
2778,1.01077,2316.0,45.7734,2250.0,47.5,0.01455040697488309
2779,1.00861,2311.0,46.0313,2250.0,47.5,0.015755797739673255
2780,1.00781,2310.75,46.2656,2250.0,47.5,0.015876947307587274
2781,1.01065,2311.5,46.9453,2250.0,47.5,0.015859246019725732
2782,1.01355,2317.0,46.9688,2250.0,47.5,0.014591893911094509
2783,1.01608,2323.5,47.0156,2250.0,47.5,0.01333610724364001
2784,0.969331,2327.0,47.0859,2250.0,47.5,0.012752808487249107
2785,0.967438,2325.75,47.1797,2250.0,47.5,0.012975166828207494
2786,0.964692,2323.0,47.4375,2250.0,47.5,0.01350210970464135
2787,0.959534,2313.5,47.8828,2250.0,47.5,0.015412405136646384
2788,0.957673,2305.75,48.3281,2250.0,47.5,0.01736771446088009
2789,0.954438,2290.75,47.8359,2250.0,47.5,0.02376092705633003
2790,0.997498,2277.25,47.3906,2250.0,47.5,0.03526167690430686
2791,0.999512,2252.25,47.7188,2250.0,47.5,0.28828413284132826
2792,1.00028,2231.5,47.8125,2250.0,47.5,0.050473186119873815
2793,1.00427,2198.25,48.1875,2250.0,47.5,0.01871345029239766
2794,1.00494,2155.75,48.6563,2250.0,47.5,0.01037276609516183
2795,1.00662,2124.0,49.0313,2250.0,47.5,0.007780206066537879
2796,0.95691,2077.75,49.6875,2250.0,47.5,0.0057000356252226575
2797,0.957032,2047.75,50.0625,2250.0,47.5,0.004858791375645309
2798,0.957551,2008.75,50.3203,2250.0,47.5,0.004080461810345847
2799,0.955262,1954.0,50.4844,1750.0,47.5,0.004808052911660682
2800,0.952058,1922.5,49.6875,1750.0,47.5,0.005691924581999288
2801,0.949525,1894.25,49.5703,1750.0,47.5,0.0067879307875425175
2802,1.00726,1867.5,49.2422,1750.0,47.5,0.008316547767755414
2803,1.00629,1839.25,49.2891,1750.0,47.5,0.010864947614655077
2804,1.00629,1818.25,49.4766,1750.0,47.5,0.014039698651908137
2805,1.00894,1802.5,49.5938,1750.0,47.5,0.017987617324233998
2806,1.00861,1803.75,49.6172,1750.0,47.5,0.017584829216138655
