0,5,12.5,17.5,25,35,47.5,60,70,80,90,107.5,135,150,160
1000,1.0001,1.0782,1.0548,1.0469,1.0548,1.0157,1.0626,1.0079,1.0079,1.0001,1.0001,1.0001,1.0001,1.0001
1500,1.0001,1.0626,1.0157,0.9610,1.0157,1.0235,1.0079,1.0001,1.0313,1.0001,1.0001,1.0001,1.0001,1.0001
1750,1.0001,1.0626,1.0157,1.0235,1.0313,1.0157,1.0157,0.9844,1.0313,1.0001,1.0001,1.0001,1.0001,1.0001
2000,1.0001,1.0704,1.0235,1.0079,1.0001,1.0079,1.0079,1.0235,1.0391,1.0079,1.0001,1.0001,1.0001,1.0001
2250,1.0001,1.0469,1.0235,0.9923,0.9844,0.9923,1.0079,1.0157,1.0391,1.0391,1.0079,1.0001,1.0001,1.0001
2500,1.0001,1.0548,1.0235,0.9766,0.9844,1.0001,1.0001,1.0157,1.0313,1.0391,1.0469,1.0001,1.0001,1.0001
3000,1.0001,1.0313,1.0001,0.9766,0.9688,0.9844,0.9923,1.0001,0.9844,1.0157,1.0313,1.0001,1.0001,1.0001
3500,1.0001,1.0704,0.9923,0.9454,0.9454,0.9923,1.0079,1.0235,1.0001,1.0391,1.0391,1.0001,1.0001,1.0001
4000,1.0001,1.0704,1.0235,1.0001,1.0313,1.0079,1.0860,1.0548,1.0235,1.0548,1.0157,1.0704,1.0001,1.0001
4500,1.0001,1.0548,1.0079,1.0001,1.0001,1.0001,1.0079,1.0391,1.0391,1.0079,1.0079,1.0704,1.0001,1.0001
5000,1.0001,1.0079,1.0157,1.0001,1.0001,1.0001,1.0001,1.0001,1.0001,1.0001,1.0548,1.0938,1.0001,1.0001
5500,1.0001,1.0001,1.0079,1.0079,1.0001,1.0001,1.0001,1.0001,1.0001,1.0001,1.0001,1.0001,1.0001,1.0001
6000,1.0001,1.0157,1.0391,1.0469,1.0001,1.0001,1.0001,1.0001,1.0001,1.0001,1.0860,1.0001,1.1094,1.0001
6500,1.0001,1.0001,1.0001,1.0001,1.0001,1.0001,1.0001,1.0001,1.0001,1.0001,1.0782,1.0001,1.0001,1.0001
